fiscal_year,assets,capex,cash,cost_of_revenue,current_assets,current_debt_maturities,current_liabilities,deferred_revenue,depreciation_and_amortization,diluted_eps,diluted_shares,equity,gross_profit,interest_expense,inventory,liabilities,long_term_debt,net_income,operating_cash_flow,operating_income,pretax_income,receivables,research_and_development,revenue,sales_and_marketing,selling_general_admin,shares_outstanding,short_term_investments,stock_based_compensation,tax_expense,total_debt_reported,short_term_debt,short_term_borrowings,net_interest_income,deposits,loans,provision_for_credit_losses,rental_revenue,total_debt,net_debt,net_cash,free_cash_flow,revenue_growth,sequential_revenue_growth,gross_margin,operating_margin,net_margin,current_ratio,debt_to_assets,ocf_margin,free_cash_flow_margin,free_cash_flow_conversion,capex_intensity,research_and_development_intensity,sales_and_marketing_intensity,stock_based_compensation_intensity,dilution,return_on_assets,return_on_equity,effective_tax_rate,nopat,return_on_invested_capital,ebitda,interest_coverage,debt_to_ebitda,quick_ratio,share_price,market_cap,enterprise_value,ev_revenue,ev_ebitda,price_earnings,price_free_cash_flow
2021,351002000000.0,11085000000.0,34940000000.0,212981000000.0,134836000000.0,9613000000.0,125481000000.0,7612000000.0,11284000000.0,5.61,16864919000.0,63090000000.0,152836000000.0,2645000000.0,6580000000.0,287912000000.0,109106000000.0,94680000000.0,104038000000.0,108949000000.0,109207000000.0,26278000000.0,21914000000.0,365817000000.0,,21973000000.0,16426786000.0,27699000000.0,7906000000.0,14527000000.0,,,,,,,,,118719000000.0,83779000000.0,-83779000000.0,92953000000.0,,,0.4177935962516778,0.29782377527561593,0.2588179335569424,1.0745531195957954,0.33822884200090025,0.284399030116151,0.2540969938521173,0.981759611322349,0.030302036264033657,0.059904269074427925,,0.021611898845597662,,,,0.13302260844085087,94456319832.97774,,120233000000.0,41.19054820415879,0.9874077832209127,1.0221149018576519,,,,,,,
2022,352755000000.0,10708000000.0,23646000000.0,223546000000.0,135405000000.0,11128000000.0,153982000000.0,7912000000.0,11104000000.0,6.11,16325819000.0,50672000000.0,170782000000.0,2931000000.0,4946000000.0,302083000000.0,98959000000.0,99803000000.0,122151000000.0,119437000000.0,119103000000.0,28184000000.0,26251000000.0,394328000000.0,,25094000000.0,15943425000.0,24658000000.0,9038000000.0,19300000000.0,110087000000.0,,,,,,,,110087000000.0,86441000000.0,-86441000000.0,111443000000.0,0.0779378760418461,,0.43309630561360085,0.30288744395528594,0.2530964070519973,0.8793560286267226,0.31207778769967826,0.30977003915522106,0.2826149804223895,1.116629760628438,0.02715505873283155,0.06657148363798665,,0.022920005680550203,-0.03196576277656593,0.28362915040276687,1.7545929220653644,0.16204461684424407,100082877097.97401,0.704853667471699,130541000000.0,40.74957352439441,0.8433135949625022,0.8472353911496149,,,,,,,
2023,352583000000.0,10959000000.0,29965000000.0,214137000000.0,143566000000.0,9822000000.0,145308000000.0,8061000000.0,11519000000.0,6.13,15812547000.0,62146000000.0,169148000000.0,3933000000.0,6331000000.0,290437000000.0,95281000000.0,96995000000.0,110543000000.0,114301000000.0,113736000000.0,29508000000.0,29915000000.0,383285000000.0,18260000000.0,24932000000.0,15550061000.0,31590000000.0,10833000000.0,16741000000.0,105103000000.0,,,,,,,,105103000000.0,75138000000.0,-75138000000.0,99584000000.0,-0.02800460530319937,,0.4413112957720756,0.2982141226502472,0.2530623426432028,0.9880116717592975,0.2980943494155986,0.28840940814276583,0.25981710737440805,1.0266920975308005,0.02859230076835775,0.07804897139204509,0.047640789490848844,0.028263563666723196,-0.03143928032033183,0.27503126160790997,1.7194951160275842,0.14719174228036858,97476836665.61159,0.7104803380912443,125820000000.0,29.062039155860667,0.8353441424256874,0.9444421504665951,,,,,,,
2024,364980000000.0,9447000000.0,29943000000.0,210352000000.0,152987000000.0,10912000000.0,176392000000.0,8249000000.0,11445000000.0,6.08,15408095000.0,56950000000.0,180683000000.0,,7286000000.0,308030000000.0,85750000000.0,93736000000.0,118254000000.0,123216000000.0,123485000000.0,33410000000.0,31370000000.0,391035000000.0,18639000000.0,26097000000.0,15116786000.0,35228000000.0,11688000000.0,29749000000.0,96662000000.0,,,,,,,,96662000000.0,66719000000.0,-66719000000.0,108807000000.0,0.02021994077514111,,0.4620634981523393,0.31510222870075566,0.23971255769943867,0.8673125765340832,0.2648419091457066,0.3024128274962599,0.27825386474356517,1.1607813433472731,0.02415896275269477,0.08022299794136074,0.04766580996585983,0.02988990755303234,-0.025577916068802886,0.2612620773367635,1.5741250755692886,0.24091185164189982,93531805288.09167,0.716847902021373,134661000000.0,,0.7178173338977135,0.8260068483831466,,,,,,,
2025,359241000000.0,12715000000.0,35934000000.0,220960000000.0,147957000000.0,12350000000.0,165631000000.0,9055000000.0,11698000000.0,7.46,15004697000.0,73733000000.0,195201000000.0,,5718000000.0,285508000000.0,78328000000.0,112010000000.0,111482000000.0,133050000000.0,132729000000.0,39777000000.0,34550000000.0,416161000000.0,19524000000.0,27601000000.0,14773260000.0,18763000000.0,12863000000.0,20719000000.0,90678000000.0,,,,,,,,90678000000.0,54744000000.0,-54744000000.0,98767000000.0,0.06425511782832749,,0.4690516410716045,0.31970799762591884,0.2691506412181824,0.8932929222186667,0.2524155093655791,0.26788190147563085,0.23732882225869315,0.8817694848674226,0.030553079216937677,0.08302075398703868,0.04691453548025884,0.030908710811440764,-0.026180913344576395,0.3093254683307996,1.7142244974480232,0.15610002335586043,112280891892.50276,0.8906022058053886,144748000000.0,,0.6264542515267914,0.858770399261008,,,,,,,
